n4,h,h,h,h,h,h,h,h,h,h
n5,h,h,h,h,h,h,h,h,h,h
n6,h,h,h,h,h,h,h,h,h,h
n7,h,h,h,h,h,h,h,h,h,h
n8,h,h,h,h,h,h,h,h,h,h
n9,h,h,h,h,h,h,h,h,h,h
n10,h,dh,dh,dh,dh,h,h,h,h,h
n11,dh,dh,dh,dh,dh,h,h,h,h,h
n12,h,h,h,h,h,h,h,h,h,h
n13,h,h,h,h,h,h,h,h,h,h
n14,h,h,h,h,h,h,h,h,h,h
n15,h,h,h,h,h,h,h,h,h,h
n16,h,s,s,s,s,h,h,h,h,h
n17,s,s,s,s,s,s,s,s,s,h
n18,s,s,s,s,s,s,s,s,s,s
n19,s,s,s,s,s,s,s,s,s,s
n20,s,s,s,s,s,s,s,s,s,s
n21,s,s,s,s,s,s,s,s,s,s
a12,h,h,h,h,h,h,h,h,h,h
a13,h,h,h,h,h,h,h,h,h,h
a14,h,h,h,h,h,h,h,h,h,h
a15,h,h,h,h,h,h,h,h,h,h
a16,h,h,h,h,dh,h,h,h,h,h
a17,h,h,h,dh,dh,h,h,h,h,h
a18,s,s,s,s,s,s,s,h,h,h
a19,s,s,s,s,s,s,s,s,s,s
a20,s,s,s,s,s,s,s,s,s,s
a21,s,s,s,s,s,s,s,s,s,s
s2,h,h,h,h,p,p,h,h,h,h
s3,h,h,p,p,p,p,h,h,h,h
s4,h,h,h,h,h,h,h,h,h,h
s5,h,h,dh,dh,dh,h,h,h,h,h
s6,h,h,h,h,p,h,h,h,h,h
s7,p,p,p,p,p,p,h,h,h,h
s8,p,p,p,p,p,p,p,p,p,p
s9,s,s,s,s,s,s,s,p,s,s
s10,s,s,s,s,s,s,s,s,s,s
s11,p,p,p,p,p,h,h,h,h,h
